id,company,joburl,lat,lng
https://jobs.51job.com/beijing-cpq/101158691.html?s=01&t=0,北京泰和特电子技术有限公司,https://jobs.51job.com/beijing-cpq/101158691.html?s=01&t=0,40.089943,116.317767
https://jobs.51job.com/beijing-dxq/79384950.html?s=01&t=0,北京Dole食品有限公司,https://jobs.51job.com/beijing-dxq/79384950.html?s=01&t=0,39.782380,116.545310
https://jobs.51job.com/beijing-hdq/99619588.html?s=01&t=0,北京飞宇星电子科技有限公司,https://jobs.51job.com/beijing-hdq/99619588.html?s=01&t=0,39.945247,116.320040
https://jobs.51job.com/beijing-cyq/101440646.html?s=01&t=0,中嘉盈时网络信息技术（北京）有限公司,https://jobs.51job.com/beijing-cyq/101440646.html?s=01&t=0,39.890559,116.474047
https://jobs.51job.com/beijing-tzq/100562031.html?s=01&t=0,国金黄金股份有限公司,https://jobs.51job.com/beijing-tzq/100562031.html?s=01&t=0,39.911847,116.648794
https://jobs.51job.com/beijing-cyq/101462952.html?s=01&t=0,北京美隆康润科贸有限公司,https://jobs.51job.com/beijing-cyq/101462952.html?s=01&t=0,39.914223,116.457089
https://jobs.51job.com/beijing/99336059.html?s=01&t=0,上海萌睿生物科技有限公司,https://jobs.51job.com/beijing/99336059.html?s=01&t=0,39.878359,116.253965
https://jobs.51job.com/beijing-myq/100393451.html?s=01&t=0,北京麦康药业有限公司,https://jobs.51job.com/beijing-myq/100393451.html?s=01&t=0,39.958991,116.334145
https://jobs.51job.com/beijing-cyq/101453811.html?s=01&t=0,摩酒（北京）网络科技有限公司,https://jobs.51job.com/beijing-cyq/101453811.html?s=01&t=0,39.910065,116.512351
https://jobs.51job.com/beijing-cyq/91824267.html?s=01&t=0,北京久禧科技有限公司,https://jobs.51job.com/beijing-cyq/91824267.html?s=01&t=0,39.940956,116.500782
https://jobs.51job.com/beijing-cyq/101454595.html?s=01&t=0,北京三友联高科技有限公司,https://jobs.51job.com/beijing-cyq/101454595.html?s=01&t=0,39.928181,116.455129
https://jobs.51job.com/beijing-dxq/65396142.html?s=01&t=0,北京中都星徽物流有限公司,https://jobs.51job.com/beijing-dxq/65396142.html?s=01&t=0,39.789470,116.503056
https://jobs.51job.com/beijing-cyq/100316741.html?s=01&t=0,北京环球友邻科技有限公司,https://jobs.51job.com/beijing-cyq/100316741.html?s=01&t=0,40.016794,116.481497
https://jobs.51job.com/beijing-hdq/101276066.html?s=01&t=0,北京进化者机器人科技有限公司,https://jobs.51job.com/beijing-hdq/101276066.html?s=01&t=0,40.040288,116.378216
https://jobs.51job.com/beijing/101462357.html?s=01&t=0,北京瑞品惠众商贸有限公司,https://jobs.51job.com/beijing/101462357.html?s=01&t=0,39.918501,116.442832
https://jobs.51job.com/beijing-xcq/83180754.html?s=01&t=0,北京汇通汇利技术开发有限公司,https://jobs.51job.com/beijing-xcq/83180754.html?s=01&t=0,39.920646,116.365761
https://jobs.51job.com/beijing-hdq/101424712.html?s=01&t=0,北京蓝景圣诺尔能源科技有限公司,https://jobs.51job.com/beijing-hdq/101424712.html?s=01&t=0,39.963718,116.283447
https://jobs.51job.com/beijing/85480883.html?s=01&t=0,北京秀洁新兴建材有限责任公司,https://jobs.51job.com/beijing/85480883.html?s=01&t=0,39.765982,116.288264
https://jobs.51job.com/beijing/101436471.html?s=01&t=0,北京京西隆电子商务有限公司,https://jobs.51job.com/beijing/101436471.html?s=01&t=0,39.931977,116.386332
https://jobs.51job.com/beijing-cyq/92670781.html?s=01&t=0,北京琞煜电子商务有限公司,https://jobs.51job.com/beijing-cyq/92670781.html?s=01&t=0,39.904097,116.498004
https://jobs.51job.com/beijing/90556122.html?s=01&t=0,阿帕奇（北京）光纤激光技术有限公司,https://jobs.51job.com/beijing/90556122.html?s=01&t=0,39.785099,116.528417
