职位,公司名称,地址,经度,纬度,网址
调度员,天津市飞龙砼外加剂有限公司,双街九园公路飞龙道3号,117.316567,39.35264377,https://jobs.51job.com/tianjin-bcq/78711689.html?s=01&t=0
仓库管理员,天津市飞龙砼外加剂有限公司,双街九园公路飞龙道3号,117.316567,39.35264377,https://jobs.51job.com/tianjin-bcq/79849144.html?s=01&t=0
仓库管理员,天津晨天自动化设备工程有限公司,北辰科技园景远路南,117.2092441,39.21937808,https://jobs.51job.com/tianjin-bcq/80461803.html?s=01&t=0
北辰仓库管理员,上海全盛供应链管理有限公司,高新大道69号沃尔玛配送中心二期1号雀巢仓库,117.2775922,39.23984831,https://jobs.51job.com/tianjin-bcq/80890015.html?s=01&t=0
仓库管理员,天津市飞龙砼外加剂有限公司,双街九园公路飞龙道3号,117.316567,39.35264377,https://jobs.51job.com/tianjin-bcq/80942977.html?s=01&t=0
仓库保管员,天津市世纪天宇商贸有限公司,北辰区朝阳路水泥厂南院,117.1708106,39.21716609,https://jobs.51job.com/tianjin-bcq/81976182.html?s=01&t=0
仓库管理员,天津卡行天下供应链管理有限公司,天津市北辰区华北集团成邦物流园四期中心库卡行天下,117.2287788,39.2368946,https://jobs.51job.com/tianjin-bcq/83171714.html?s=01&t=0
仓库管理员,天津久能万德科技有限公司,北辰区经济技术开发区优谷新科园137号楼,117.0481165,39.21998582,https://jobs.51job.com/tianjin-bcq/84707714.html?s=01&t=0
库管/仓管员,天津迪光照明科技有限公司,西堤头镇刘快庄永明工业园,117.360144,39.26002762,https://jobs.51job.com/tianjin-bcq/87189628.html?s=01&t=0
仓库管理员,上海优通供应链管理有限公司,天津市北辰经济开发区双辰中路20号,117.1300274,39.27228984,https://jobs.51job.com/tianjin-bcq/88301108.html?s=01&t=0
理货员,上海优通供应链管理有限公司,天津市北辰经济开发区双辰中路20号,117.1300274,39.27228984,https://jobs.51job.com/tianjin-bcq/88781097.html?s=01&t=0
仓库管理员,天津开发区大昌物资贸易有限公司,北辰区铁东北路北方汽贸园,117.1923538,39.20905727,https://jobs.51job.com/tianjin-bcq/88791795.html?s=01&t=0
天津北辰运输调度/客服,上海全盛供应链管理有限公司,高新大道69号沃尔玛配送中心二期1号雀巢仓库,117.2775922,39.23984831,https://jobs.51job.com/tianjin-bcq/89311760.html?s=01&t=0
仓储主管,天津久能万德科技有限公司,北辰区经济技术开发区优谷新科园137号楼,117.0481165,39.21998582,https://jobs.51job.com/tianjin-bcq/90495723.html?s=01&t=0
物流调度,天津市飞龙浩德物流有限公司,小淀镇刘安庄工业园北兴物流园旁,117.2225262,39.24102823,https://jobs.51job.com/tianjin-bcq/90800673.html?s=01&t=0
储备干部,天津迪光照明科技有限公司,西堤头镇刘快庄永明工业园,117.360144,39.26002762,https://jobs.51job.com/tianjin-bcq/91695367.html?s=01&t=0
物流运营调度,天津驹马物流有限公司,北辰区京津路与北辰道交叉口金玺大厦2号楼601（北辰区政府旁）,117.1388795,39.22863498,https://jobs.51job.com/tianjin-bcq/91906429.html?s=01&t=0
仓库管理员,天津万象恒远科技有限公司,铁东北路天穆都市产业园西三门旁（原丽海饭店）,117.1820926,39.22222336,https://jobs.51job.com/tianjin-bcq/92252768.html?s=01&t=0
仓库经理,上海发网供应链管理有限公司,风电产业园永进道132号,117.1877236,39.31864984,https://jobs.51job.com/tianjin-bcq/92943610.html?s=01&t=0
调度员,天津卡行天下供应链管理有限公司,天津市北辰区华北集团成邦物流园四期中心库卡行天下,117.2287788,39.2368946,https://jobs.51job.com/tianjin-bcq/95374487.html?s=01&t=0
仓库收货主管,打零工（上海）互联网科技有限公司天津分公司,天津市北辰区小淀,117.2350979,39.26476703,https://jobs.51job.com/tianjin-bcq/96776276.html?s=01&t=0
仓库库管,天津德汇宝商贸有限公司,万发科技园,117.2373756,39.28154331,https://jobs.51job.com/tianjin-bcq/97092266.html?s=01&t=0
仓库库管,天津德汇宝商贸有限公司,万发科技园,117.2373756,39.28154331,https://jobs.51job.com/tianjin-bcq/97092266.html?s=01&t=5
仓库管理员,天津安得智联科技有限公司,天津市北辰区陆路港物流装备产业园区天津美安物流园,117.1806061,39.25913063,https://jobs.51job.com/tianjin-bcq/97270632.html?s=01&t=0
仓库理货员,天津顶通物流有限公司,陆路港装备产业园三经路5号 嘉民物流园1号库第三、四单元,117.3665697,39.0809078,https://jobs.51job.com/tianjin-bcq/97558571.html?s=01&t=0
仓库管理员,北大青鸟环宇消防设备股份有限公司,万科新城凌霄苑7-07,117.212972,39.21300998,https://jobs.51job.com/tianjin-bcq/97577637.html?s=01&t=0
配件管理员,天津市鹏龙九州汽车销售服务有限公司,小淀镇外环东路与规划丹河道交口,117.3262585,39.15010509,https://jobs.51job.com/tianjin-bcq/98187630.html?s=01&t=0
仓库管理员,天津日进塑料有限公司,天津市北辰科技园区华盛道61号（华北集团外资园）,117.251067,39.23966202,https://jobs.51job.com/tianjin-bcq/98234545.html?s=01&t=0
仓库管理员,招商路凯（中国）投资控股有限公司,天津市北辰区高新大道69号沃尔玛配送中心三期北门3-3库,117.2775922,39.23984831,https://jobs.51job.com/tianjin-bcq/98374735.html?s=01&t=0
仓库打包发货,天津康宝美佳家居用品贸易有限公司,天津市北辰区津保高速口屈淀工业园,117.0789077,39.24000122,https://jobs.51job.com/tianjin-bcq/98477979.html?s=01&t=0
仓库管理员,天津富洲科技有限公司,风电产业园永进道118号,117.173767,39.31801778,https://jobs.51job.com/tianjin-bcq/98694368.html?s=01&t=0
仓库管理员,天津展晨化工贸易有限公司,西堤头镇,117.33078,39.29771459,https://jobs.51job.com/tianjin-bcq/98905237.html?s=01&t=0
机加工库管,天津德力塔仪表科技有限公司,宜兴埠七街工业园华科道88号,117.2403635,39.22257355,https://jobs.51job.com/tianjin-bcq/99336468.html?s=01&t=0
仓库内勤文员,天津杰福美科技有限公司,天津市北辰区双口镇双口二村,117.0389227,39.248923,https://jobs.51job.com/tianjin-bcq/99387608.html?s=01&t=0
库工,天津欧亚床垫家具有限公司,双街镇经济技术开发区双原道4号欧亚床垫,117.1212853,39.27790524,https://jobs.51job.com/tianjin-bcq/99525533.html?s=01&t=0
仓库管理员,天津市意利达家具有限公司,天津市北辰区双口工业园永保路19号,117.079948,39.24733911,https://jobs.51job.com/tianjin-bcq/99546472.html?s=01&t=0
物流保管员（库管）,北京中集物流有限公司,陆路港装备产业园陆港三经路5号,117.334521,39.25502621,https://jobs.51job.com/tianjin-bcq/99856792.html?s=01&t=0
叉车工,天津市现代天骄农业科技有限公司,天津市宝坻区大口屯镇汪台村南（现代天骄科技园）,117.2774134,39.592469,https://jobs.51job.com/tianjin-bdq/102151698.html?s=01&t=0
仓库管理员,天津爱康实业有限公司,天津宝坻区,117.4114206,39.615544,https://jobs.51job.com/tianjin-bdq/103221748.html?s=01&t=0
仓库主管,爱康企业集团（上海）有限公司,天津宝坻区,117.4114206,39.615544,https://jobs.51job.com/tianjin-bdq/103234664.html?s=01&t=0
仓库管理员,天津卡利欧玛热能设备制造有限公司,天津市宝坻区天宝工业园区,117.4114206,39.615544,https://jobs.51job.com/tianjin-bdq/103515405.html?s=01&t=0
仓库主管,厦门固克涂料集团有限公司,天津市宝坻区节能环保开发区天中路与唐通路交口岳家庄变电站北邻居,117.2614617,39.78019031,https://jobs.51job.com/tianjin-bdq/72610440.html?s=01&t=0
仓库管理员,天津市现代天骄农业科技有限公司,天津市宝坻区大口屯镇汪台村南（现代天骄科技园）,117.2774134,39.592469,https://jobs.51job.com/tianjin-bdq/91063531.html?s=01&t=0
仓库主管,天津市现代天骄农业科技有限公司,天津市宝坻区大口屯镇汪台村南（现代天骄科技园）,117.2774134,39.592469,https://jobs.51job.com/tianjin-bdq/94555276.html?s=01&t=0
仓库管理员,天津泰明加德低碳住宅科技发展有限公司,中加生态城,117.2108131,39.1439299,https://jobs.51job.com/tianjin-bhxq/100033124.html?s=01&t=0
库工,天津滨海澳泰防水材料有限公司,天津开发区西区中南三街99号,117.695272,39.0459524,https://jobs.51job.com/tianjin-bhxq/100131814.html?s=01&t=0
库房管理员,北京华峰测控技术股份有限公司,天津市安正路179号滨旅产业园二区1号楼2门201,117.765261,39.11362265,https://jobs.51job.com/tianjin-bhxq/100227563.html?s=01&t=0
诚招聘港口监装现场,天津市广冠国际贸易有限公司,第二大街27号国信大厦A-2-405室,117.7011904,39.03622695,https://jobs.51job.com/tianjin-bhxq/100269710.html?s=01&t=0
仓库主管,诺思（天津）微系统有限公司,天津经济技术开发区西区新环东路新业五街27号,117.5504011,39.09720518,https://jobs.51job.com/tianjin-bhxq/100399361.html?s=01&t=0
仓库管理员,诺思（天津）微系统有限公司,天津经济技术开发区西区新环东路新业五街27号,117.5504011,39.09720518,https://jobs.51job.com/tianjin-bhxq/100399665.html?s=01&t=0
物料专员,苏州和阳智能制造股份有限公司,经济技术开发区西区中南五街98号,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/100539928.html?s=01&t=0
仓库管理（包吃住+月薪5000+社保，双休）,武汉众创聚世科技有限公司,第四大街,117.7131369,39.04500777,https://jobs.51job.com/tianjin-bhxq/100838454.html?s=01&t=0
养乐多招聘库管要求叉车双证,天津若水企业管理有限公司,天津滨海新区周边,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/100843714.html?s=01&t=0
养乐多库管六险一金,天津若水企业管理有限公司,天津滨海新区周边,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/100844409.html?s=01&t=0
库房文员 仓库管理员 综薪5000 双休 七小时工作制,武汉晟宇鑫航电子商务有限公司,天津-滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/100888355.html?s=01&t=0
仓库账务,天津和昇塑料制品有限公司,经济技术开发区西区西北一街19号,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/101075694.html?s=01&t=0
仓库文员,天津泽元信息技术有限公司,大港轻纺经济区轻一街1113号（元顺物流）,117.7628265,39.0173226,https://jobs.51job.com/tianjin-bhxq/101095840.html?s=01&t=0
6500 库房文员/仓库管理员+餐补+双休+五险一金,武汉晟宇鑫航电子商务有限公司,天津-滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/101134255.html?s=01&t=0
Materials Specialist,斯伦贝谢中国公司,天津临港经济区渤海26路1469号,117.7633068,38.93600533,https://jobs.51job.com/tianjin-bhxq/101214764.html?s=01&t=0
物料管理员04212(000676)(职位编号：Pharmaron000676),康龙化成（北京）新药技术股份有限公司,天津市经济技术开发区西区新业七街,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/101322639.html?s=01&t=0
仓库管理员,君旺节能科技股份有限公司,泰达现代产业园栖霞路16号,117.7970342,39.22396263,https://jobs.51job.com/tianjin-bhxq/101386347.html?s=01&t=0
调度经理—工作地点大港,天津奥尔森物流有限公司,天津市大港区大港炼油厂北侧200米,117.3807944,38.72957287,https://jobs.51job.com/tianjin-bhxq/101391125.html?s=01&t=0
物流专员-派往常熟分公司,天津市立和工贸有限公司,天津市塘沽区港城大道东路中港城建材市场,117.6128789,39.1151492,https://jobs.51job.com/tianjin-bhxq/101697805.html?s=01&t=0
仓库管理员（五险双休+提供食宿补贴）综薪6000,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/101705346.html?s=01&t=0
仓库管理员 包吃住 带薪年假 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/101752706.html?s=01&t=0
仓库管理员 绩效 朝九晚六双休 接受应届生+房补,武汉晟宇鑫航电子商务有限公司,天津-滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/101758520.html?s=01&t=0
电商运营主管（滨海）,天津驹马物流有限公司,响螺湾浙商大厦,117.6727859,39.00611161,https://jobs.51job.com/tianjin-bhxq/101762873.html?s=01&t=0
仓库管理员,苏州和阳智能制造股份有限公司,经济技术开发区西区中南五街98号,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/101764754.html?s=01&t=0
库房文员/仓管  双休 提供吃住 工作轻松,武汉晟宇鑫航电子商务有限公司,天津-滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/101825810.html?s=01&t=0
6500急聘（五险一金+双休）仓库管理员、库房文员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/101905719.html?s=01&t=0
仓库管理员,天津快客利食品科技咨询有限公司,天津经济技术开发区 开发区西区 空港经济区 天津中心生态城,117.6876813,39.03885786,https://jobs.51job.com/tianjin-bhxq/101999535.html?s=01&t=0
分餐员,天津铭源建筑工程有限公司,开发区第九大街丰华工业园12号厂房南侧,117.7282599,39.05965374,https://jobs.51job.com/tianjin-bhxq/102006283.html?s=01&t=0
6500急聘（五险一金/双休）仓库管理员、库房文员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/102007866.html?s=01&t=0
仓库管理员（五险双休+提供食宿补贴）综薪6000,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/102057987.html?s=01&t=0
仓库管理员 包吃住 带薪年假 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/102110626.html?s=01&t=0
仓库管理员,天津涧边草堂文化发展有限公司,塘沽区于家堡巨蟹座公寓,117.6959396,39.0021485,https://jobs.51job.com/tianjin-bhxq/102141180.html?s=01&t=0
仓库资材担当,天津摩比斯汽车零部件有限公司,滨海新区九大街十二号,117.7037848,39.06951924,https://jobs.51job.com/tianjin-bhxq/102176330.html?s=01&t=0
仓库管理员 绩效 朝九晚六双休 接受应届生+房补,武汉晟宇鑫航电子商务有限公司,天津-滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/102191400.html?s=01&t=0
车辆管理岗,安信联合物流有限公司,临港经济区黄河道2699号（黄河道与渤海28路交口）,117.0746082,38.83416663,https://jobs.51job.com/tianjin-bhxq/102258255.html?s=01&t=0
仓管科副科长（主管级）,谷山企业管理咨询（天津）有限公司,天津经济开发区汉沽现代产业区彩云东路58号,117.7165458,39.077118,https://jobs.51job.com/tianjin-bhxq/102323902.html?s=01&t=0
仓库管理员,安通控股股份有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/102410776.html?s=01&t=0
仓库管理员,天津永高塑业发展有限公司,天津市滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/102490016.html?s=01&t=0
码头船舶主管,孚宝渤化（天津）仓储有限公司,临港经济区清河道68号,117.7644174,38.95579532,https://jobs.51job.com/tianjin-bhxq/102521629.html?s=01&t=0
云检医学-仓库管理,浙江大学滨海产业技术研究院,天津市滨海高新区高新六路39号,117.5177766,39.11388276,https://jobs.51job.com/tianjin-bhxq/102650238.html?s=01&t=0
库管员（滨海新区生态城）,谷山企业管理咨询（天津）有限公司,天津经济开发区汉沽现代产业区彩云东路58号,117.7165458,39.077118,https://jobs.51job.com/tianjin-bhxq/102754578.html?s=01&t=0
库管员-环欧（项目）(J10435),天津市环欧半导体材料技术有限公司,海洋科技园,117.2108131,39.1439299,https://jobs.51job.com/tianjin-bhxq/102769179.html?s=01&t=0
天地华宇大港分公司招聘业务员,天地华宇集团,天津大港天元路225号,117.4837649,38.85656074,https://jobs.51job.com/tianjin-bhxq/102777832.html?s=01&t=0
仓库管理员,天津顶正印刷包材有限公司,天津经济技术开发区渤海路19号,117.685586,39.05719679,https://jobs.51job.com/tianjin-bhxq/103020142.html?s=01&t=0
仓储物流专员/仓库管理员,天津元象国际贸易有限公司,开发区第七大街渤海路48号1号库,117.6905042,39.06807976,https://jobs.51job.com/tianjin-bhxq/103076372.html?s=01&t=0
仓管文员4.5K,武汉众创聚世科技有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/103142514.html?s=01&t=0
仓管,辉门（常熟）汽车部件有限公司,天津经济技术开发区泰丰路87号,117.7298495,39.06542999,https://jobs.51job.com/tianjin-bhxq/103143498.html?s=01&t=0
生管仓库管理,康师傅杭州顶园食品有限公司,洞庭路161号,117.255182,39.0657475,https://jobs.51job.com/tianjin-bhxq/103171466.html?s=01&t=0
仓库文员,德国西诺德牙科设备公司,TEDA 泰华路78号 宏泰工业园H2厂房,117.7260802,39.06319939,https://jobs.51job.com/tianjin-bhxq/103182360.html?s=01&t=0
供应链商务文员,德国西诺德牙科设备公司,TEDA 泰华路78号 宏泰工业园H2厂房,117.7260802,39.06319939,https://jobs.51job.com/tianjin-bhxq/103455154.html?s=01&t=0
调度员,天津雅鑫混凝土有限公司,天津市塘沽区杨北公路以南黑猪河桥以南。,117.5718241,39.11363249,https://jobs.51job.com/tianjin-bhxq/103469042.html?s=01&t=0
库管兼叉车,密尔克卫化工供应链服务股份有限公司天津分公司,天津市临港宝湾国际物流中心,117.2108131,39.1439299,https://jobs.51job.com/tianjin-bhxq/103475534.html?s=01&t=0
原料库管理员,凯莱英生命科学技术（天津）有限公司,天津经济技术开发区第七大街71号,117.7344267,39.05103712,https://jobs.51job.com/tianjin-bhxq/48216211.html?s=01&t=0
送货司机,天津顶立酒业有限公司,天津滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/53273577.html?s=01&t=0
统计员,天津市滨涛混凝土有限公司,塘沽区东江路,117.2617968,39.07524378,https://jobs.51job.com/tianjin-bhxq/54590865.html?s=01&t=0
库管,天津顶立酒业有限公司,天津滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/54952364.html?s=01&t=0
仓库管理员,天津养乐多乳品有限公司,天津经济技术开发区海云街,117.6876813,39.03885786,https://jobs.51job.com/tianjin-bhxq/58896662.html?s=01&t=0
仓库管理员(职位编号：06),赛诺医疗科学技术有限公司,天津开发区第四大街5号泰达生物医药研发大厦B区2层,117.6879624,39.05301057,https://jobs.51job.com/tianjin-bhxq/60500229.html?s=01&t=0
现场作业员,天津木村进和物流有限公司,自贸区（空港经济区）东八道55号,117.4321514,39.15356873,https://jobs.51job.com/tianjin-bhxq/61781993.html?s=01&t=0
生产调度,天津市滨涛混凝土有限公司,天津市河北区建昌道59号,117.2337729,39.18204961,https://jobs.51job.com/tianjin-bhxq/61821397.html?s=01&t=0
库管 Warehouse Keeper,格里森齿轮科技（苏州）有限责任公司天津分公司,天津市经济开发区西区中南五街49号,117.2958194,39.7109062,https://jobs.51job.com/tianjin-bhxq/70171924.html?s=01&t=0
仓库配货员,天津崇泰投资有限公司,天津市经济技术开发区黄海一街50号,117.7140285,39.06432225,https://jobs.51job.com/tianjin-bhxq/70952581.html?s=01&t=0
调度主管,日邮振华物流（天津）有限公司,经济技术开发区,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/72007137.html?s=01&t=0
仓储部经理,天津嘉泰伟业化工有限公司,天津滨海新区大港金源路2号,117.4935383,38.82046157,https://jobs.51job.com/tianjin-bhxq/72392415.html?s=01&t=0
库管,日邮振华物流（天津）有限公司,经济技术开发区,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/73148429.html?s=01&t=0
叉车工,天津莱尔德电子材料有限公司,经济技术开发区泰丰路87号宏泰工业园C3-C4厂房,117.7268201,39.06500713,https://jobs.51job.com/tianjin-bhxq/74346646.html?s=01&t=0
库管员,天津嘉泰伟业化工有限公司,天津滨海新区大港金源路2号,117.4935383,38.82046157,https://jobs.51job.com/tianjin-bhxq/74459049.html?s=01&t=0
仓管员,江苏飞力达国际物流股份有限公司,海通街46号,117.7195496,39.08346826,https://jobs.51job.com/tianjin-bhxq/74718887.html?s=01&t=0
库管员兼叉车,天津顶立酒业有限公司,天津市塘沽区,117.6490814,39.00793614,https://jobs.51job.com/tianjin-bhxq/79665210.html?s=01&t=0
送货司机,天津顶立酒业有限公司,天津市滨海新区塘沽欧美小镇四期1365号,117.6770202,39.05536757,https://jobs.51job.com/tianjin-bhxq/80719395.html?s=01&t=0
叉车工,天津顶立酒业有限公司,天津市滨海新区塘沽欧美小镇四期1365号,117.6770202,39.05536757,https://jobs.51job.com/tianjin-bhxq/80811161.html?s=01&t=0
仓库主管,天津泰普制药有限公司,开发区西区,117.2108131,39.1439299,https://jobs.51job.com/tianjin-bhxq/81256913.html?s=01&t=0
送货司机,天津顶立酒业有限公司,天津市滨海新区塘沽欧美小镇四期1365号,117.6770202,39.05536757,https://jobs.51job.com/tianjin-bhxq/81263769.html?s=01&t=0
库管员,天津费加罗电子有限公司,经济技术开发区,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/82016824.html?s=01&t=0
现场作业员,天津木村进和物流有限公司,自贸区（空港经济区）东八道55号,117.4321514,39.15356873,https://jobs.51job.com/tianjin-bhxq/82443625.html?s=01&t=0
仓库管理员,丹娜（天津）生物科技有限公司,滨海新区中新生态城科技园,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/84490924.html?s=01&t=0
天津办操作客服,广州市广海物流有限公司,新港三号路紫云园23-2-306,117.7076097,39.01495876,https://jobs.51job.com/tianjin-bhxq/85301641.html?s=01&t=0
库管,福科斯(天津)置地有限公司,天津空港经济区,117.398274,39.16052925,https://jobs.51job.com/tianjin-bhxq/85476285.html?s=01&t=0
仓库管理员,天津渤海精细化工有限公司,大港科技产业园区金源路泰和街一号,117.4799971,38.81918601,https://jobs.51job.com/tianjin-bhxq/88136888.html?s=01&t=0
仓库管理员,德马吉森精机（天津）机床有限公司,经济技术开发区西区新业二街105号,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/88467269.html?s=01&t=0
现场作业员,天津木村进和物流有限公司,自贸区（空港经济区）东八道55号,117.4321514,39.15356873,https://jobs.51job.com/tianjin-bhxq/88536687.html?s=01&t=0
现场作业员,天津木村进和物流有限公司,自贸区（空港经济区）东八道55号,117.4321514,39.15356873,https://jobs.51job.com/tianjin-bhxq/88537190.html?s=01&t=0
现场理货员(职位编号：003),天津泰连达国际货运代理有限公司,天津滨海新区开发区第二大街MSD写字楼,117.7058238,39.03420257,https://jobs.51job.com/tianjin-bhxq/88792282.html?s=01&t=0
仓库管理员,施维雅（天津）制药有限公司,天津市经济技术开发区第十大街12号,117.7058466,39.07445448,https://jobs.51job.com/tianjin-bhxq/89100335.html?s=01&t=0
物流专员,米德（中国）复合材料有限公司,经济技术开发区西区新环西路60号,117.7266953,39.06883437,https://jobs.51job.com/tianjin-bhxq/89402515.html?s=01&t=0
仓库管理员,天津中铁青源国际货运代理有限公司,东疆保税港区亚洲路6975号金融贸易中心南区,117.8106131,39.0181148,https://jobs.51job.com/tianjin-bhxq/90072616.html?s=01&t=0
车间助理,南京金利检验有限公司,天津市塘沽区黄海路,117.7016404,39.05347871,https://jobs.51job.com/tianjin-bhxq/90096274.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91219447.html?s=01&t=0
物料/仓库管理员 朝九晚六 双休 年终奖,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91329311.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91462697.html?s=01&t=0
物料/仓库管理员 餐补房补交补 多项福利,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91801678.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91849509.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91853560.html?s=01&t=0
物料/仓库管理员 包三餐 包住 高薪 横向转岗,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91945907.html?s=01&t=0
物料/仓库管理员 包吃住 高薪 季度晋升,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91985437.html?s=01&t=0
诚聘物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/91996906.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92041361.html?s=01&t=0
仓库管理员 包吃住 带薪年假 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92071353.html?s=01&t=0
仓库管理员 包吃住 带薪年假 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92089369.html?s=01&t=0
备品内勤,天津市立和工贸有限公司,天津市塘沽区港城大道东路中港城建材市场,117.6128789,39.1151492,https://jobs.51job.com/tianjin-bhxq/92153488.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92165333.html?s=01&t=0
仓库管理员 包吃住 带薪年假 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92186588.html?s=01&t=0
仓库管理员 包吃住 带薪年假 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92250873.html?s=01&t=0
仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92261692.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92261748.html?s=01&t=0
仓库管理员,翱文狄风电设备制造（上海）有限公司,经济技术开发区南海路156号津滨发展31#厂房,117.7174776,39.06404617,https://jobs.51job.com/tianjin-bhxq/92268473.html?s=01&t=0
仓库管理员 包吃住 带薪年假 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92305874.html?s=01&t=0
仓储物流经理,中信天津金融科技服务有限公司,天津经济技术开发区黄海路249号中信物流科技园（第十二大街与黄海路交口）,117.7139814,39.08402622,https://jobs.51job.com/tianjin-bhxq/92410812.html?s=01&t=0
仓库管理员 包吃住 年底双薪 五险一金,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92507877.html?s=01&t=0
物料/仓库管理员,天津世尊进出口贸易有限公司,滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92525688.html?s=01&t=0
仓库管理员/五险/食宿,天津市吉润天泽商贸有限公司,天津 滨海新区,117.6462863,39.05917664,https://jobs.51job.com/tianjin-bhxq/92536080.html?s=01&t=0
货运司机,天津顶立酒业有限公司,天津市滨海新区塘沽欧美小镇四期1365号,117.6770202,39.05536757,https://jobs.51job.com/tianjin-bhxq/93098782.html?s=01&t=0
外勤业务员,天津裕熔供应链管理有限公司,天津港保税区海滨15路海景大厦813室,117.7512547,39.02951392,https://jobs.51job.com/tianjin-bhxq/93190162.html?s=01&t=0
仓库人员,天津隆誉源国际贸易有限公司,天津港保税区,117.7648322,39.02031619,https://jobs.51job.com/tianjin-bhxq/93192831.html?s=01&t=0
现场理货员(职位编号：003),天津泰连达国际货运代理有限公司,天津滨海新区开发区第二大街MSD写字楼,117.7058238,39.03420257,https://jobs.51job.com/tianjin-bhxq/93232891.html?s=01&t=0
