company,job_title,joburl,lat,lng,salary,address
保定振东商贸有限公司,仓库记账员,https://jobs.51job.com/baoding/106977928.html?s=01&t=0,,,3-5千/月,北市区秀兰尚城南门西侧底商国诚基金
北京奥普科星技术有限公司,仓库管理员,https://jobs.51job.com/xingtai/105943216.html?s=01&t=0,,,3-4.5千/月,河北省邢台市威县经济开发区嘉寓产业园5号
北京百灵威科技有限公司,库房理货员/打包员,https://jobs.51job.com/beijing-tzq/95985192.html?s=01&t=0,39.93201,116.788715,3-4.5千/月,
北京百维博锐贸易有限公司,仓库管理员（张家口百盛）,https://jobs.51job.com/zhangjiakou/110296946.html?s=01&t=0,40.822866,114.893307,,桥东区滨河中路2号张家口百盛1F
北京北通四海电子商务有限公司,仓库文员,https://jobs.51job.com/langfang/107910695.html?s=01&t=0,39.51751,116.652098,2-3千/月,廊坊广阳区光明西道268号
北京博润佳科技有限公司,,https://jobs.51job.com/cangzhou/103152952.html?s=01&t=0,38.418722,117.313031,,
北京德青源农业科技股份有限公司,仓库管理员,https://jobs.51job.com/langfang/105298348.html?s=01&t=0,,,3-4.5千/月,百合路与一纬道交口京永物流院内
北京顶通物流有限公司,,https://jobs.51job.com/shijiazhuang/103300696.html?s=01&t=0,38.091749,114.320598,,
北京顶通物流有限公司,仓管,https://jobs.51job.com/shijiazhuang/100336989.html?s=01&t=0,38.091749,114.320598,3-4.5千/月,鹿泉区
北京顶通物流有限公司,仓库管理员,https://jobs.51job.com/cangzhou/108478632.html?s=01&t=0,,,,新华区北外环石油北库西侧
北京顶通物流有限公司,仓库理货员,https://jobs.51job.com/shijiazhuang/103300696.html?s=01&t=0,38.091749,114.320598,3-4.5千/月,鹿泉区
北京东方蓝地服装股份有限公司,仓储主管,https://jobs.51job.com/beijing-cyq/107356065.html?s=01&t=0,39.897591,116.462571,0.8-1.5万/月,朝阳区垂杨柳中街4号院
北京东方雨虹防水技术股份有限公司,,https://jobs.51job.com/tangshan/92745182.html?s=01&t=0,39.284608,118.08823,,
北京东阳西友展览服务有限责任公司,库房管理员（唐山）,https://jobs.51job.com/tangshan/106164369.html?s=01&t=0,39.532404,118.10448,2.5-5千/月,唐山市丰南开发区
北京分公司7,仓储运营经理,https://jobs.51job.com/tianjin-bcq/108146867.html?s=01&t=0,,,,交通集团城市物流配送中心美菜网仓库
北京格雷泰科建筑技术有限公司,生产经理助理,https://jobs.51job.com/cangzhou/100928975.html?s=01&t=0,,,3-4.5千/月,沧州经济技术开发区九河东路43号
北京格瑞德曼仪器设备有限公司 ,库管（急）,https://jobs.51job.com/beijing-cpq/73737623.html?s=01&t=0,40.072319,116.355366,4-6千/月,
北京格瑞德曼仪器设备有限公司,库管（急）,https://jobs.51job.com/beijing-cpq/73737623.html?s=01&t=0,40.072319,116.355366,4-6千/月,北京市昌平区回龙观镇黄平路19号院（龙旗广场）
北京航星机器制造有限公司航星宏达分公司,搬运工,https://jobs.51job.com/yanjiao/107156345.html?s=01&t=0,39.977372,116.859692,6-8千/月,燕郊镇福成路413号
北京豪沃尔科技发展股份有限公司,仓库管理员,https://jobs.51job.com/yanjiao/106088273.html?s=01&t=0,39.926009,116.911795,3-4.5千/月,大厂潮白河工业园区工业四路东段检验认证产业园三号楼
北京好世好餐饮管理有限公司 ,仓库管理员,https://jobs.51job.com/langfang/102477700.html?s=01&t=0,39.585912,116.780665,3.5-6千/月,
北京好世好餐饮管理有限公司,仓库管理员,https://jobs.51job.com/langfang/102477700.html?s=01&t=0,39.585912,116.780665,3.5-6千/月,经济开发区鸿润道
北京和众奥顺达物流有限公司,物流驻场调度员,https://jobs.51job.com/langfang/104426445.html?s=01&t=0,39.469704,116.787057,4.5-6千/月,
北京恒业世纪科技股份有限公司,成品库主管,https://jobs.51job.com/qinhuangdao/104917668.html?s=01&t=0,39.930941,119.428312,6-8千/月,
北京虎彩文化传播有限公司,仓库管理员,https://jobs.51job.com/langfang/108009534.html?s=01&t=0,39.408946,116.347593,,河北省廊坊市固安南开发区
北京华翔电炉技术有限责任公司,仓库管理员,https://jobs.51job.com/langfang/102595420.html?s=01&t=0, , ,3-4.5千/月,固安县固安工业区南区迎宾路东50米
北京惠赢天下网络技术有限公司,仓储规划主管/专员,https://jobs.51job.com/hebeisheng/104983788.html?s=01&t=0,38.043202,114.536596,4-8千/月,
北京慧运维技术有限公司,资产管理员,https://jobs.51job.com/langfang/103512681.html?s=01&t=0,39.569207,116.762816,4-6千/月,
北京加汇通业机电技术有限公司,库房主管,https://jobs.51job.com/langfang/106643873.html?s=01&t=0,39.925716,116.912613,4.5-6千/月,大厂经济开发区工业二路
北京京华虎彩印刷有限公司,物流专员,https://jobs.51job.com/langfang/110033901.html?s=01&t=0,39.408946,116.347593,,河北省廊坊市固安南开发区
北京京威汽车设备有限公司,库管,https://jobs.51job.com/langfang/106282764.html?s=01&t=0,39.925716,116.912613,3-4.5千/月,大厂潮白河工业区工业二路
北京晶澳太阳能光伏科技有限公司,仓库统计员（邢台基地）(职位编号：002),https://jobs.51job.com/xingtai/108599027.html?s=01&t=0,37.064041,114.546364,,邢台经济开发区长安路1688号
北京美波宝贝商贸有限公司,仓库管理员,https://jobs.51job.com/langfang/105198185.html?s=01&t=0,39.573644,116.777111,3-4.5千/月,
北京美波宝贝商贸有限公司,电商仓库库管 理货 打包员,https://jobs.51job.com/langfang/106913788.html?s=01&t=0,39.573644,116.777111,3-4.5千/月,广阳开发区祥云道6号多元集团
北京美波宝贝商贸有限公司,电商库房包装配货,https://jobs.51job.com/langfang/107088932.html?s=01&t=0,39.573644,116.777111,2-3千/月,广阳开发区祥云道6号多元集团
北京美波宝贝商贸有限公司,电商库房人员,https://jobs.51job.com/langfang/107255851.html?s=01&t=0,39.573644,116.777111,80元/天,广阳开发区祥云道6号多元集团
北京美波宝贝商贸有限公司,库房包装员,https://jobs.51job.com/langfang/106773939.html?s=01&t=0,39.573644,116.777111,3-4.5千/月,广阳开发区祥云道6号多元集团
北京美波宝贝商贸有限公司,淘宝库房打包配货包装(职位编号：1),https://jobs.51job.com/langfang/104945481.html?s=01&t=0,39.573644,116.777111,3-4.5千/月,
北京美波宝贝商贸有限公司,淘宝库房理货员/打包员,https://jobs.51job.com/langfang/106774051.html?s=01&t=0,39.573644,116.777111,3-4.5千/月,广阳开发区祥云道6号多元集团
北京美力马消防设备有限公司 ,仓库管理员(固安上班）,https://jobs.51job.com/langfang/91293856.html?s=01&t=0,39.471298,116.265015,2.5-4.5千/月,
北京美力马消防设备有限公司,仓库管理员(固安上班）,https://jobs.51job.com/langfang/91293856.html?s=01&t=0,39.471298,116.265015,2.5-4.5千/月,河北省廊坊市固安县固安北开发区江山路临1号
北京美力马消防设备有限公司,库房包装员(固安上班）,https://jobs.51job.com/langfang/91292208.html?s=01&t=0,39.471298,116.265015,2.5-4.5千/月,河北省廊坊市固安县固安北开发区江山路临1号
北京耐尔得智能科技有限公司,,https://jobs.51job.com/langfang/102918187.html?s=01&t=0,39.736794,116.971073,,
北京耐尔得智能科技有限公司,材料库管,https://jobs.51job.com/langfang/102918187.html?s=01&t=0,39.736794,116.971073,3-4.5千/月,河北省廊坊市香河县机器人工业园区
北京普罗格科技股份有限公司,,https://jobs.51job.com/langfang/102243582.html?s=01&t=0,39.602527,116.686737,,
北京普罗格科技股份有限公司,库房主管,https://jobs.51job.com/langfang/102243582.html?s=01&t=0,39.602527,116.686737,5.5-6.5千/月,河北省廊坊市广阳区凤舞道10号宝湾国际物流园
北京普罗格科技股份有限公司,收货主管,https://jobs.51job.com/langfang/97818924.html?s=01&t=0,39.602527,116.686737,5-6.2千/月,河北省廊坊市广阳区凤舞道10号宝湾国际物流园
北京普罗格科技股份有限公司,物流仓储运营主管（代理仓经理）,https://jobs.51job.com/langfang/100282204.html?s=01&t=0,39.602527,116.686737,0.7-1万/月,河北省廊坊市广阳区凤舞道10号宝湾国际物流园
北京热刺激光技术有限责任公司,仓库管理员,https://jobs.51job.com/yanjiao/108188757.html?s=01&t=0,,,,燕郊留山大街10号全景工业园3期51号楼（公交308路亿丰伟业站下车）
北京沙睿金科技有限公司,库管,https://jobs.51job.com/baoding/110359445.html?s=01&t=0,39.347116,115.874443,,高碑店市亚威街2号
北京首钢朗泽新能源科技有限公司,成品库区管理员,https://jobs.51job.com/tangshan/101358944.html?s=01&t=0,39.008587,118.514699,,河北省唐山市曹妃甸工业园区首钢京唐公司院内
北京斯利安药业有限公司,仓库主管,https://jobs.51job.com/cangzhou/102037159.html?s=01&t=0, , ,4.5-7千/月,黄骅市临港开发区经四路东侧（经二路）
北京天健君安经贸有限公司,仓库管理员,https://jobs.51job.com/shijiazhuang/90135562.html?s=01&t=0,38.013108,114.477134,4-6千/月,
北京通嘉宏盛科技有限公司,仓库管理员,https://jobs.51job.com/langfang/109239707.html?s=01&t=0,,,,固安县南开发区环保产业园9号楼
北京通尼科技有限公司 ,技术文员,https://jobs.51job.com/qinhuangdao/105650397.html?s=01&t=0,39.936051,119.635052,3-4.5千/月,
北京通尼科技有限公司,技术文员,https://jobs.51job.com/qinhuangdao/105650397.html?s=01&t=0,39.936051,119.635052,3-4.5千/月,河北省秦皇岛市海港区河北大街东段28
北京童趣控股有限公司,库房理货员,https://jobs.51job.com/langfang/103670763.html?s=01&t=0,39.372943,116.56224,3-5千/月,
北京万古恒信科技有限公司,河北廊坊市中粮仓库招装卸工,https://jobs.51job.com/langfang/107110936.html?s=01&t=0,39.43086,116.472957,3.5-4千/月,永清县永清国际冷链物流园
北京万集科技股份有限公司,,https://jobs.51job.com/cangzhou/101293111.html?s=01&t=0,38.598388,116.900292,,
北京万集科技股份有限公司,库管（工作地点：沧州青县）,https://jobs.51job.com/cangzhou/101293111.html?s=01&t=0,38.598388,116.900292,2.5-4千/月,河北省沧州市青县清州镇罗店开发区
北京万里伟业物流有限公司,装卸工,https://jobs.51job.com/baoding/107080150.html?s=01&t=0,,,5-8千/月,河北定州市城北伊利工业园
北京万普隆能源技术有限公司 ,仓库管理员,https://jobs.51job.com/baoding/103674600.html?s=01&t=0,39.555538,115.914181,3-4.5千/月,
北京万普隆能源技术有限公司,仓库管理员,https://jobs.51job.com/baoding/103674600.html?s=01&t=0,39.555538,115.914181,3-4.5千/月,涿州百尺杆
北京沃尔玛百货有限公司,运营经理/驻仓经理,https://jobs.51job.com/beijing-tzq/107398293.html?s=01&t=0,39.710984,116.811983,7-9千/月,北京市通州区永乐店镇永乐大街7号宇培北京通州物流园
北京沃尔玛百货有限公司,运营主管/物流主管,https://jobs.51job.com/beijing-tzq/107398547.html?s=01&t=0,39.710984,116.811983,4.5-6千/月,北京市通州区永乐店镇永乐大街7号宇培北京通州物流园
北京沃森格美展览展示有限公司 ,库管员/仓库管理员/配件库管/理货员(包吃住),https://jobs.51job.com/langfang/98261776.html?s=01&t=0,39.581784,116.766193,3.5-4.5千/月,
北京沃森格美展览展示有限公司,库管员/仓库管理员/配件库管/理货员(包吃住),https://jobs.51job.com/langfang/98261776.html?s=01&t=0,39.581784,116.766193,3.5-4.5千/月,中纺城
北京西西弗文化传播有限公司,物流验货员（涿州）,https://jobs.51job.com/baoding/106168163.html?s=01&t=0,,,3.2-4千/月,涿州市东城坊镇宋家营村北京宏贤达集团涿州图书文化产业园宋家营园区
北京新联铁集团股份有限公司,库管员,https://jobs.51job.com/langfang/99056884.html?s=01&t=0,39.573287,116.772065,3.5-5千/月,廊坊开发区友谊路510号
北京怡孚和融科技有限公司 ,仓库管理员,https://jobs.51job.com/shijiazhuang/104809725.html?s=01&t=0,37.983388,114.415416,3-5千/月,
北京怡孚和融科技有限公司,仓库管理员,https://jobs.51job.com/shijiazhuang/104809725.html?s=01&t=0,37.983388,114.415416,3-5千/月,河北省石家庄市鹿泉区恒信汽配城
北京易达新电气成套设备有限公司,库房管理员,https://jobs.51job.com/shijiazhuang/107159032.html?s=01&t=0,38.065562,114.357556,3-4.5千/月,石家庄鹿泉区鹿岛V谷科技工业园
北京逸帆伟业文化发展有限公司,库工,https://jobs.51job.com/baoding/97441981.html?s=01&t=0,,,3-4.5千/月,河北省涿州市开发区朝阳路东段河北勘森6号
北京英博电气股份有限公司,库房管理员,https://jobs.51job.com/langfang/92623840.html?s=01&t=0,39.518611,116.703602,3-6千/月,
北京英杰森国际贸易有限公司,仓库管理员,https://jobs.51job.com/langfang/110273092.html?s=01&t=0,,,,管家务廊坊红日胜包装有限公司院内（永清杨安迪公司）
北京元气森林饮料有限公司,仓库物流主管,https://jobs.51job.com/hangzhou-xsq/109376748.html?s=01&t=0,,,,杭州萧山和河北邯郸两地跑
北京众驰伟业科技发展有限公司,仓库管理员,https://jobs.51job.com/yanjiao/95356978.html?s=01&t=0,39.990999,116.783222,3-4.5千/月,
北京资源亿家控股集团有限公司,仓库管理员,https://jobs.51job.com/langfang/103249498.html?s=01&t=0,39.520968,116.152518,3-4.5千/月,
必康润祥医药河北有限公司,物流中心-仓库管理员,https://jobs.51job.com/shijiazhuang/106173453.html?s=01&t=0,,,4-6千/月,栾城区环城西路中段（城区公安分局斜对面）
碧桂园控股,,https://jobs.51job.com/qinhuangdao/94519790.html?s=01&t=0,39.941748,119.608531,,
碧桂园控股,仓库管理员,https://jobs.51job.com/tangshan/94519791.html?s=01&t=0,39.636584,118.186459,4.5-6千/月,
缤果盒子 ,仓储物流经理,https://jobs.51job.com/tangshan/104739339.html?s=01&t=0,39.738412,118.453214,0.8-1万/月,
博世汽车多媒体（芜湖）有限公司,仓管员（保定）/Warehouse Keeper (CM/BdgP),https://jobs.51job.com/baoding/88956824.html?s=01&t=0, , ,,河北省保定市徐水区朝阳北大街（徐）199号
沧州鹤来科技有限公司,保管员,https://jobs.51job.com/cangzhou/99735584.html?s=01&t=0,,,,沧县旧州镇强庄子工业区
沧州临港三菱金属制品有限公司,仓库管理员,https://jobs.51job.com/cangzhou/92761190.html?s=01&t=0,38.391297,117.472639,2-3千/月,
沧州市精益医疗器械有限公司,送货员,https://jobs.51job.com/cangzhou/106196085.html?s=01&t=0,38.314737,116.903484,,长芦大道5号
沧州双蝶体育器材有限公司,,https://jobs.51job.com/cangzhou/91560517.html?s=01&t=0,38.046407,117.480681,,
沧州天华移动通信科技有限公司 ,仓库管理员,https://jobs.51job.com/cangzhou/99924751.html?s=01&t=0,38.294513,116.958578,3-4.5千/月,
沧州天华移动通信科技有限公司,仓库管理员,https://jobs.51job.com/cangzhou/99924751.html?s=01&t=0,38.294513,116.958578,,开发区
昌黎惠冀再生能源利用有限公司 ,仓库管理员,https://jobs.51job.com/qinhuangdao/105674262.html?s=01&t=0,39.71923,119.062255,3-4.5千/月,
昌宜（天津）模板租赁有限公司 ,仓库管理员,https://jobs.51job.com/shijiazhuang/103884407.html?s=01&t=0,38.148198,114.420843,3-4.5千/月,
昌宜（天津）模板租赁有限公司,（邯郸）基地仓储班组长,https://jobs.51job.com/handan/107731107.html?s=01&t=0, , ,,曙光路南和盛新型建材
昌宜（天津）模板租赁有限公司,仓库管理员,https://jobs.51job.com/shijiazhuang/103884407.html?s=01&t=0,38.148198,114.420843,,河北省石家庄市鹿泉区大河镇纸房头中友机电院内
昌宜（天津）模板租赁有限公司,诚聘（邯郸）仓库主管,https://jobs.51job.com/handan/107730992.html?s=01&t=0,,,,曙光路南和盛新型建材
昌宜（天津）模板租赁有限公司,诚聘仓库主管,https://jobs.51job.com/hengshui/106466158.html?s=01&t=0,37.887876,116.166176,,河北省衡水市阜城县杜场村
昌宜（天津）模板租赁有限公司,衡水基地物资仓储班组长,https://jobs.51job.com/hengshui/106466964.html?s=01&t=0,37.887876,116.166176,,河北省衡水市阜城县杜场村
昌宜（天津）模板租赁有限公司,基地仓库主管,https://jobs.51job.com/xingtai/107367511.html?s=01&t=0,37.076685,114.511459,,邢台市洺州镇辛庄村嘉寓威县节能产业园
昌宜（天津）模板租赁有限公司,物资基地仓储班组长,https://jobs.51job.com/xingtai/107367548.html?s=01&t=0,37.076685,114.511459,,邢台市洺州镇辛庄村嘉寓威县节能产业园
常山众卡运力供应链管理有限公司,,https://jobs.51job.com/langfang/102104034.html?s=01&t=0,39.602527,116.686737,,
常山众卡运力供应链管理有限公司,调度员,https://jobs.51job.com/langfang/102104034.html?s=01&t=0,39.602527,116.686737,,河北省廊坊市开发区凤舞道十号（宝湾国际物流园）
晨光生物科技集团股份有限公司,仓库管理员,https://jobs.51job.com/handan/105481066.html?s=01&t=0,,,,晨光集团国外子公司
晨光文具---石家庄晨华文具有限公司 ,仓库理货员,https://jobs.51job.com/shijiazhuang/102441106.html?s=01&t=0,38.052534,114.505539,2.8-3.3千/月,
晨光文具---石家庄晨华文具有限公司,仓库理货员,https://jobs.51job.com/shijiazhuang/102441106.html?s=01&t=0,38.052534,114.505539,,南三条东方文化体育市场
成都爱司机科技有限公司,运力拓展专员,https://jobs.51job.com/shijiazhuang/102625016.html?s=01&t=0, , ,,长安区百川大厦西塔1801
德邦快递,德邦诚聘分拣员,https://jobs.51job.com/shijiazhuang/102722104.html?s=01&t=0,38.018669,114.698304,3-4.5千/月,
德本（北京）广告有限公司,库房管理员（香河）,https://jobs.51job.com/langfang/109343604.html?s=01&t=0,39.730514,116.965788,,廊坊香河县运河大道机器人产业园安康街22号
德高（广州）建材有限公司,物流专员（石家庄市行唐县）,https://jobs.51job.com/shijiazhuang/108442887.html?s=01&t=0,38.388697,114.514151,,行唐县经济开发区
迪卡侬仓储配送,仓库管理员--北京燕郊,https://jobs.51job.com/langfang/61828474.html?s=01&t=0,,,,燕郊开发区潮白大街89号
迪卡侬仓储配送,配送中心部门经理--北京燕郊,https://jobs.51job.com/langfang/62341910.html?s=01&t=0,39.54352,116.69034,,廊坊
定州市松本汽车座椅制造有限公司,,https://jobs.51job.com/baoding/91383277.html?s=01&t=0,38.548684,114.930225,,
东方希望集团有限公司,,https://jobs.51job.com/tangshan/102962479.html?s=01&t=0,39.872878,118.579757,,
多格漫商贸（上海）有限公司,仓库管理员,https://jobs.51job.com/langfang/107990941.html?s=01&t=0,,,,燕郊经济技术开发区迎宾北路百世金谷国际产业基地50-E
分众传媒,库管文员,https://jobs.51job.com/shijiazhuang/109575143.html?s=01&t=0,38.051376,114.512375,,长安区勒泰中心写字楼B座11层1102-1104
风神物流有限公司,配送库管理员（廊坊）,https://jobs.51job.com/langfang/85979644.html?s=01&t=0,39.444442,116.304938,,固安县
佛山市顺德区巴德富实业有限公司,仓库管理员,https://jobs.51job.com/cangzhou/108551452.html?s=01&t=0,38.341837,117.541379,,黄骅市临港化工园区沧州巴德富化工科技有限公司
福克 . 埃尔莫（廊坊）电气有限公司 ,材料和发货管理员（一年岗）,https://jobs.51job.com/langfang/105641310.html?s=01&t=0,39.594333,116.770003,2-2.5千/月,
呷哺呷哺餐饮管理有限公司总部 ,石家庄配送中心主管,https://jobs.51job.com/shijiazhuang/103373510.html?s=01&t=0,38.059371,114.37519,6-8千/月,
呷哺呷哺餐饮管理有限公司总部,石家庄配送中心主管,https://jobs.51job.com/shijiazhuang/103373510.html?s=01&t=0,38.059371,114.37519,,鹿泉区昌盛大街17号厚朴冷链园
高碑店市信德百利革业有限公司,仓库管理员,https://jobs.51job.com/baoding/107146922.html?s=01&t=0,39.140063,116.050948,,白沟工业园区三期
高碑店市云岭医药有限公司,送货员,https://jobs.51job.com/baoding/109021043.html?s=01&t=0,39.334021,115.869058,,高碑店市北大街10号
高斯宝河北电力科技有限公司,仓库管理员,https://jobs.51job.com/tangshan/108232236.html?s=01&t=0,39.059983,118.475892,,曹妃甸工业区平台中日生态园高新厂房B2-1.2栋内
钴得暖业（唐山曹妃甸）科技有限公司,库房主管,https://jobs.51job.com/tangshan/103277111.html?s=01&t=0,39.112329,118.487875,3-4.5千/月,
瓜子二手车 ,店面运营经理,https://jobs.51job.com/shijiazhuang/105744107.html?s=01&t=0,38.063328,114.477697,1-1.5万/月,
瓜子二手车,车场管理员,https://jobs.51job.com/baoding/106532262.html?s=01&t=0,38.848092,115.544772,,东二环客运中心焦庄红绿灯西侧
瓜子二手车,车场运营管理,https://jobs.51job.com/shijiazhuang/106452945.html?s=01&t=0,38.063328,114.477697,,新华区和平西路南100米
瓜子二手车,车辆运营主管,https://jobs.51job.com/baoding/107193541.html?s=01&t=0,38.848092,115.544772,,东二环客运中心焦庄红绿灯西侧
瓜子二手车,店面运营经理,https://jobs.51job.com/shijiazhuang/105744107.html?s=01&t=0,38.063328,114.477697,,新华区和平西路南100米
广东都市物流科技有限公司 ,分拣理货仓库工作包吃住直接面试,https://jobs.51job.com/tianjin-wqq/105670327.html?s=01&t=0,39.560609,116.834369,3.5-6千/月,
广东都市物流科技有限公司,分拣理货仓库工作包吃住直接面试,https://jobs.51job.com/tianjin-wqq/105670327.html?s=01&t=0,39.560609,116.834369,,天津市武清区京滨工业园古旺路26号
广东海大集团股份有限公司,仓管员,https://jobs.51job.com/shijiazhuang/109203867.html?s=01&t=0,37.967044,115.029958,,河北省石家庄市晋州市桃园镇政府南行200米路西
广东海大集团股份有限公司,仓库管理员,https://jobs.51job.com/shijiazhuang/107976763.html?s=01&t=0,37.967044,115.029958,,河北省石家庄市晋州市桃园镇政府南行200米路西
广东华兴玻璃股份有限公司,仓库管理员,https://jobs.51job.com/langfang/101074820.html?s=01&t=0,39.378248,116.536278,,永清县燃气工业园区百合路25号
广东喜之郎集团有限公司,仓库管理员,https://jobs.51job.com/baoding/106120294.html?s=01&t=0,39.269474,115.81431,,定兴县
