公司名称,岗位,所属岗位,薪资,平均薪资（千/月）,地址,所属城区,经度,纬度
天津四维企业有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津经济技术开发区黄海路101号,滨海新区,117.69869,39.047215
天津顶正印刷包材有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津经济技术开发区渤海路19号,滨海新区,117.685586,39.057197
禧天龙科技发展有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,天津滨海高新区风光大道12号,东丽区,117.517777,39.113883
中爱科技（北京）有限责任公司,库房管理,仓库管理员,3-6千/月,4.5,天津市东丽区空港经济区中环南路39号神州通物流园,东丽区,117.420484,39.128096
航佳机场商业机构,仓管,仓库管理员,3-3.5千/月,3.25,天津滨海国际机场,东丽区,117.367385,39.139655
中铁现代物流科技股份有限公司天津分公司,收发料员,搬运工,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
天津四环汽车内饰件有限公司,库管员,仓库管理员,3-4.5千/月,3.75,现代产业区健捷路与华康道交口,滨海新区,117.450428,39.251075
天津光电惠高电子有限公司,仓库管理专员,仓库管理员,3-4.5千/月,3.75,天津市河西区泰山路6号,河西区,117.23622,39.093277
中联信达（天津）科技发展有限公司,包装工,搬运工,3-4.5千/月,3.75,天津市宝坻区九园工业区北环路9号,宝坻区,,
深圳市华夏龙供应链管理有限公司,物流操作员,仓库管理员,3-5千/月,4,天津市北辰区大张庄镇南王平村村南津围公路东,北辰区,117.225842,39.337148
天士力控股集团有限公司,聘拆零及内复核员,仓库管理员,3-4.5千/月,3.75,天士力,北辰区,117.219331,39.21802
天津盛世欣兴格力电器贸易有限公司,配件管理员,仓库管理员,3-4.5千/月,3.75,空港经济区中心大道与东七道交口远航商务中心,东丽区,117.414376,39.148425
吉中（天津）汽车内饰件有限公司,仓库主管,仓库主管,4.5-6千/月,5.25,西青经济技术开发区赛达四支路7号,西青区,117.261874,38.988916
广州一智通供应链管理有限公司,仓库管理员（宜家项目）,仓库管理员,4-6千/月,5,纬十道125号,河北区,117.461458,39.109883
上海方通车运物流有限公司北京运输分公司,调度员,调度员,3-5千/月,4,天津市滨海新区天保永利物流（渤海10路）院内方通物流停车场,滨海新区,,
天津汉晴环保科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,学府工业区慧谷东区,河北区,117.095905,39.056704
招商路凯（中国）投资控股有限公司,OPS-叉车司机（Forklift Driver）,调度员,3-4.5千/月,3.75,天津市东丽区合兴路国家物资储备八三八处,东丽区,,
天津百联硕办公文具有限公司,晨光电商部门后勤主管,仓库主管,4.5-6千/月,5.25,天津市北辰区汇川商贸城（原蓝海商贸城）,北辰区,117.195461,39.208353
天津市泰斯特仪器有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,杨成庄乡北洋工业园,津南区,117.069707,38.998032
天津艾克凯胜石墨烯科技有限公司,仓库管理员,仓库管理员,2-4千/月,3,东丽开发区丽新路10号,东丽区,117.351167,39.082408
天津市金舵手服装有限公司,仓库理货员,理货员,3-4.5千/月,3.75,文静路4号,河西区,117.207018,39.103316
北京迈得诺医疗技术有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,南开区,南开区,117.156515,39.144105
箱信（天津）国际货运代理有限公司,现场理货（塘沽+五险一金）,理货员,3-4.5千/月,3.75,京门大道188号,滨海新区,117.767087,39.020467
中国电子系统工程第二建设有限公司国际事业部,仓库管理员,仓库管理员,3-4.5千/月,3.75,逸仙工业园区三星视界附近（一家酒店）,南开区,117.040345,39.414671
曙光信息产业股份有限公司,库管员(天津）,仓库管理员,4-6千/月,5,海泰华科大街15号,西青区,117.084504,39.103427
天津中澳嘉喜诺生物科技有限公司,仓库管理员,仓库管理员,2.5-4千/月,3.25,天津市武清区徐官屯工业区泰源道5号,武清区,117.090229,39.403751
中铁现代物流科技股份有限公司天津分公司,拉料员,调度员,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
中铁现代物流科技股份有限公司天津分公司,理货员,理货员,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
中铁现代物流科技股份有限公司天津分公司,叉车司机,调度员,4-6千/月,5,八里台工业园区,津南区,117.341005,38.963667
禧天龙科技发展有限公司,账务员,仓库管理员,4.5-6千/月,5.25,天津滨海高新区风光大道12号,东丽区,117.517777,39.113883
广州一智通供应链管理有限公司,物流专员,仓库管理员,4-6千/月,5,十路125号宜家物流分拨中心,河北区,117.461458,39.109883
天津盛世欣兴格力电器贸易有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,津汉公路宅急送院内,和平区,117.277659,39.156519
跨越速运集团有限公司,诚招仓库主管,仓库主管,5-7千/月,6,空港经济区领航路(金加利有限公司)旁跨越物流有限公司,东丽区,,
天津同创顶立机械有限公司,仓库管理员,仓库管理员,4-6千/月,5,天津武清开发区泉丰路9号,武清区,117.033094,39.428186
北京玖程龙禹科贸有限公司,仓库理单员,仓库管理员,3-4.5千/月,3.75,大碱厂南辛庄（天津玖程龙禹科技有限公司),武清区,117.091679,39.440928
天津北特铝合金精密制造有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,经济开发区北区七号路中央大道16号,静海县,118.862854,32.142034
中铁现代物流科技股份有限公司天津分公司,物流专员,仓库管理员,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
富诺尔（天津）压缩机科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市津南区八里台镇泰达工业园科达五路5-1号,津南区,117.355547,38.962302
天津莎莎智城餐饮有限公司,仓储物流主管,仓库主管,4.5-6千/月,5.25,腾达园内兴华十支路20号C座,西青区,117.20874,39.033396
天津得窝恩电子有限公司,仓库管理员,仓库管理员,2-4千/月,3,天津西青汽车工业区（张家窝工业园区）汇源路12号,西青区,117.051006,39.081141
北京曼可顿食品科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市东丽区跃进路福元路交口,东丽区,117.29858,39.208952
天津市津尔安科技发展有限公司,仓库主管,仓库主管,4.8-5.5千/月,5.15,天津滨海高新区华苑产业区（环外）海泰创新五路8号,西青区,117.084321,39.080039
高能智核环保科技有限公司,仓库物流主管,仓库主管,6-8千/月,7,天津市滨海高新区滨海科技园高新三路120号,东丽区,,
天津大田物流有限公司,叉车工,调度员,3-4.5千/月,3.75,塘沽第十三大街与泰安路交口出口加工区内,静海县,117.647028,39.028402
高能智核环保科技有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,天津市滨海高新区滨海科技园高新三路120号,东丽区,117.533447,39.139851
本来生活网,果蔬加工主管,仓库主管,6-8千/月,7,天津西青区工业大学软件学院A8504,西青区,117.113679,39.075004
天狮集团有限公司,仓库主管(J10553),仓库主管,4.5-6千/月,5.25,天津市武清开发区新源道18号天狮国际健康产业园,武清区,117.02486,39.437302
天津睿博龙物流股份有限公司,现场客服,仓库管理员,3-4.5千/月,3.75,华粮道2298号全程物流,东丽区,117.329929,39.206448
北京万里伟业物流有限公司,物料保管员,仓库管理员,3.5-5千/月,4.25,天津市北辰区西提头镇陆路港物流装备产业园22号库,北辰区,117.338623,39.262667
天津千顺科技有限公司,仓库管理员实习生,仓库管理员,4.5-6千/月,5.25,天津-和平区,和平区,117.221467,39.12339
天津市英辰精密模具有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市北辰区津围公路华盛道61号,北辰区,117.250358,39.239602
中豪（天津）电力科技股份有限公司,仓库管理员,仓库管理员,2-3千/月,2.5,八里台工业园区丰泽三大道15号,津南区,117.171172,39.097845
天津鸿泰鑫阳环保科技有限公司,仓库领班,仓库管理员,4.5-6千/月,5.25,天津鸿泰鑫阳环保有限公司,河北区,,
天津市现代天骄农业科技有限公司,叉车工,调度员,3.5-6千/月,4.75,天津市宝坻区大口屯镇汪台村南（现代天骄科技园）,宝坻区,117.244485,39.59154
泗阳金美润食品有限公司,仓库管理员（男）,仓库管理员,3-6千/月,4.5,八里台镇泰达工业园区开拓二支路5号,津南区,117.352016,38.956747
跨越速运集团有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,空港经济区领航路(金加利有限公司)旁跨越物流有限公司,东丽区,,
普拉那（天津）复合制品有限公司,物流分拣员,搬运工,4.5-6千/月,5.25,天津经济开发区南海路156号通厂33号,滨海新区,117.721001,39.06131
武汉亿钜鑫网络科技有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,天津市河西区,河西区,117.229417,39.115717
凌岛（天津）建筑设计咨询有限公司,仓库管理专员/经验不限,仓库管理员,4.5-6千/月,5.25,天津市西青区,西青区,117.014408,39.148727
瑞泽兴工品科技（天津）有限公司,仓库管理文员,仓库管理员,3.5-4.5千/月,4,津文线与裕华道交叉口,西青区,117.093412,39.02874
欧蒙医学诊断（中国）有限公司,主计划员 Master planner,仓库管理员,6-8千/月,7,天津市武清开发区创业总部基地,武清区,117.057649,39.413926
天津市鑫源包装有限公司,仓库主管,仓库主管,4.5-6千/月,5.25,天津市静海区天宇科技园,静海县,116.996358,38.907291
欧蒙医学诊断（中国）有限公司,库管员 Warehouse Keeper,仓库管理员,3-5千/月,4,天津市武清开发区创业总部基地,武清区,117.057649,39.413926
北京普罗格科技股份有限公司,仓库组长,仓库管理员,4-5.5千/月,4.75,天津市武清区京滨工业园菜鸟网络4号库,武清区,116.796014,39.55822
天津市鑫源包装有限公司,仓库管理员（天津-静海区）,仓库管理员,3-4.5千/月,3.75,天津市静海区 杨家园开发区,静海县,116.941179,38.860073
天津富通集团有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市西青经济开发区赛达世纪大道10号,西青区,117.269463,38.988991
天津市骏发汽车维修服务有限公司,库管,仓库管理员,3-4.5千/月,3.75,天津市河东区一号桥耐火路11号,河东区,117.288282,39.108222
浙江冠豪新材料有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,华明高新产业园弘顺道8号院内,东丽区,117.35567,39.174892
天津现代创新中药科技有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,华苑产业园,宝坻区,117.136466,39.102233
天津正广通供应链管理有限公司,驻场调度,调度员,4.5-6千/月,5.25,窦店,河北区,116.071638,39.644374
安擎（天津）计算机有限公司,仓库管理,仓库管理员,4.5-6.5千/月,5.5,福源道北侧创业总部基地C02号楼4层西侧,武清区,117.053687,39.415124
孩子王儿童用品股份有限公司,仓管员（天佑城店）,仓库管理员,2-4千/月,3,天津市南开区南马路与西马路交叉口天佑城购物中心（地铁1/2号线西南角地铁站）,南开区,117.178611,39.143134
铜陵佩物物流有限公司,急招叉车司机,调度员,4.5-5.5千/月,5,西青区王稳庄嘉民物流中心,西青区,117.296034,38.874709
江苏正远储运有限公司,现场调度,调度员,4-6千/月,5,天津西青区西青道奥森物流A区,西青区,117.062764,39.154892
广州宝供仓储服务有限公司,设备管理员,仓库管理员,4.5-6千/月,5.25,天津市宁河区宁河现代产业区安捷西路2号安博天津宁河物流中心3号库,宁河县,117.433538,39.24614
天津明日宇航新材料科技有限公司,库管员,仓库管理员,4.5-6千/月,5.25,东丽开发区二纬路3号,东丽区,117.355007,39.084816
天津光电比特信息技术有限公司,仓库管理员,仓库管理员,3-5千/月,4,天津市西青区精武镇慧谷工业园西区D3B2,西青区,117.090655,39.056077
跨越速运集团有限公司,塘沽仓储专员,仓库管理员,4.5-6千/月,5.25,天津市塘沽区丹江路369号1楼,滨海新区,117.671854,39.064171
长沙远大住宅工业集团有限公司（天津）,仓库管理员,仓库管理员,4-6千/月,5,高端装备产业园区山河路与永丰道交口,北辰区,117.176709,39.32053
麦格纳汽车镜像（天津）有限公司,仓库管理员,仓库管理员,2-3千/月,2.5,天津空港经济区中环西路491号,东丽区,117.376936,39.167705
吉宝物流（天津生态城）有限公司,仓库理货员（第三方招聘）,理货员,3-4.5千/月,3.75,中新生态城运河北路2118号,红桥区,117.749335,39.131169
天津塞科凯尔科技有限公司,库管(职位编号：000737),仓库管理员,3.5-5千/月,4.25,武清,武清区,117.050597,39.389871
山东威高医药有限公司,仓库管理员,仓库管理员,3.5-4.5千/月,4,津南区旺港路18号,津南区,117.310079,39.040447
日邮振华物流（天津）有限公司,库管,仓库管理员,2-4千/月,3,经济技术开发区,滨海新区,117.715311,39.033789
天津杰斯通物流有限公司,装卸工,搬运工,6-8千/月,7,天津武清开发区,武清区,117.074294,39.408842
日邮振华物流（天津）有限公司,调度主管,仓库主管,2-4千/月,3,经济技术开发区,滨海新区,117.715311,39.033789
小米通讯技术有限公司,小米之家库管员（滨海万达店）,仓库管理员,4.5-6千/月,5.25,滨海万达,河北区,117.685147,39.020866
蓝月亮（中国）有限公司,仓库管理员/库管/仓管员,仓库管理员,3-5千/月,4,天津市西青区大寺经济开发区赛达四支路18号,西青区,117.268405,38.985088
广东绿岛风空气系统股份有限公司,外派仓管员,仓库管理员,6-6.5千/月,6.25,武清区,武清区,117.0506,39.389871
天津市精科国际贸易有限公司,质检仓库主管,仓库主管,3-4.5千/月,3.75,郁江道三源振河科技园,河西区,117.250241,39.081381
天津昂赛细胞基因工程有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天大科技园B3座,滨海新区,117.70576,39.044908
天津市东方弘叶木业制品有限责任公司,仓库管理文员,仓库管理员,2-3千/月,2.5,双街镇朗园开发区,北辰区,117.112785,39.290361
美菜网,发运组长,仓库管理员,4-6千/月,5,天津市北辰区交通集团城市物流配送中心,北辰区,117.172458,39.215325
天津长飞鑫茂光通信有限公司,仓库管理员,仓库管理员,3.5-4.5千/月,4,华苑产业园区榕苑路10号,西青区,117.128004,39.096734
美菜网,收退组长,仓库管理员,4-6千/月,5,天津市北辰区交通集团城市物流配送中心,北辰区,117.172458,39.215325
天津市甄智协尔企业管理咨询有限公司,开发区日企招聘仓库管理员(职位编号：3309),仓库管理员,3-4.5千/月,3.75,开发区,河北区,117.550407,39.097212
北京北海建材集团有限公司,仓库管理员,仓库管理员,3.5-4千/月,3.75,子牙工业区,静海县,116.793397,38.851274
安徽国力物流有限公司,仓库管理员,仓库管理员,3-5千/月,4,天津市津南区北闸口镇普洛斯津南物流园,津南区,117.353933,38.967396
天津卡秀堡辉涂料有限公司,仓库管理员,仓库管理员,3.5-4.5千/月,4,武清开发区新平路3号,武清区,116.995193,39.438492
宜家物流服务（中国）有限公司天津分公司,Sea to Sky 物流管理者培养项目,仓库管理员,3-4千/月,3.5,空港经济区纬十道125号,东丽区,117.459096,39.109794
跨越速运集团有限公司,诚聘仓库主管1名,仓库主管,5-7千/月,6,华明镇EOD总部港,东丽区,117.373064,39.171076
天津泰士康医疗科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,津南区双港工业园区,津南区,117.31549,39.038918
华润五丰农产品（深圳）有限公司,ERP主管（五险一金+双休）,仓库主管,4.5-6千/月,5.25,海泰国际公寓2522,西青区,117.135758,39.102326
天津象屿速传物流有限公司,现场监管员（包头）,仓库管理员,2-4千/月,3,包头,河北区,109.84654,40.662929
中施柯朗（天津）污泥治理处理工程股份有限公司,库房管理员兼接待员,仓库管理员,3-4.5千/月,3.75,天津市塘沽区北塘开发区建投领海福地商务园2号5门6门,滨海新区,117.73152,39.106585
常源科技（天津）有限公司,模具厂仓库主管,仓库主管,6-8千/月,7,空港保税区蔷薇路12号,东丽区,117.389905,39.157254
绿建（天津）新材料科技有限公司,仓库管理员,仓库管理员,2.5-3千/月,2.75,子牙循环经济产业区长春道22号,静海县,116.831372,38.88486
中安广源检测评价技术服务股份有限公司,行政库管,仓库管理员,3-4.5千/月,3.75,昆仑路东侧矽谷港湾D区D2-7-1号 中安广源,东丽区,,
施耐德万高（天津）电气设备有限公司,仓库上料员,搬运工,2.8-3.5千/月,3.15,天津滨海高新区华苑产业区(环外)海泰创新六路11号,西青区,117.076324,39.089108
江苏天合国际物流有限公司,驻厂代表,仓库管理员,5-8千/月,6.5,天津市滨海新区塘沽新港四号路北 中储发展股份有限公司天津新港分公司内现场办公,东丽区,,
凯莱英生命科学技术（天津）有限公司,库房管理员,仓库管理员,4.5-6千/月,5.25,经济技术开发区第七大街71号,滨海新区,117.734427,39.051037
常州市上锐工业紧固件有限公司,物控主管/经理,仓库主管,6-8千/月,7,天津市武清开发区发达路6号第2号厂房,武清区,117.060979,39.406467
江苏天合国际物流有限公司,现场监管员,仓库管理员,5-8千/月,6.5,天津市滨海新区塘沽新港四号路北 中储发展股份有限公司天津新港分公司内现场办公,东丽区,,
江苏天合国际物流有限公司,物流专员,仓库管理员,5-8千/月,6.5,天津市滨海新区塘沽新港四号路北 中储发展股份有限公司天津新港分公司内现场办公,东丽区,,
苏宁易购集团股份有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,光荣道147号,红桥区,117.156835,39.182735
辽宁爱普罗斯饲料有限公司,原料保管,仓库管理员,3.5-4.5千/月,4,唐山市芦台经济开发区二社区（北粮农业西侧）,宁河县,,
天津市裕隆达商贸有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,卫国道132号（地铁2号线翠阜新村站对面）,河东区,117.264018,39.150219
天津派格汽车零部件有限公司,计划员（天津空港）,仓库管理员,3-5千/月,4,天津市空港经济区西十一道与航空路交口（应大对面）,东丽区,117.422757,39.134694
宁波中翔物流有限公司,信息员,仓库管理员,4.5-6千/月,5.25,一汽大众汽车工业园区内,河北区,117.782534,39.314592
天津鸿宝祥食品科技有限公司,仓库主管,仓库主管,3-4千/月,3.5,北辰经济技术开发区京福公路西100米九合园9号楼,北辰区,117.035994,39.238479
川铁电气（天津）股份有限公司,成套仓库管理员（赣州）,仓库管理员,3-4.5千/月,3.75,赣州市赣州经济开发区赣通大道109号,章贡区,114.895072,25.876141
天津圣世特物流有限公司,现场外勤,搬运工,3-4.5千/月,3.75,天津塘沽及周边,滨海新区,117.655923,39.066897
苏宁易购集团股份有限公司,前置仓主管,仓库主管,4.5-6千/月,5.25,光荣道147号,红桥区,117.156835,39.182735
苏宁易购集团股份有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,罗平道7号华创大厦,南开区,117.141562,39.125421
苏宁易购集团股份有限公司,前置仓主管,仓库主管,4.5-6千/月,5.25,罗平道7号华创大厦,南开区,117.141562,39.125421
苏宁易购集团股份有限公司,鲜食专员,仓库管理员,4.5-6千/月,5.25,罗平道7号华创大厦,南开区,117.141562,39.125421
施梦（天津）乳胶有限公司,仓库管理员(职位编号：001),仓库管理员,4.5-6千/月,5.25,天津自贸区（天津港保税区）空港蔷薇路12号-2号楼,东丽区,117.389905,39.157254
广州市巴图鲁信息科技有限公司,物流分拣/打包员,搬运工,4.5-5千/月,4.75,天津市武清区东马圈镇武落路与大东线交口佩森物流园区,武清区,116.880805,39.53713
施梦（天津）乳胶有限公司,电商仓库 配货员,仓库管理员,4.5-6千/月,5.25,天津自贸区（天津港保税区）空港蔷薇路12号-2号楼,东丽区,117.389905,39.157254
天津市鹿艺园餐饮管理有限公司,仓库管理员,仓库管理员,2-3千/月,2.5,南城街铜锣湾花园6号楼2门102鹿园西餐,南开区,117.194418,39.144175
爱克林(天津)有限公司,仓库包装工,搬运工,3.5-4.5千/月,4,天津经济技术开发区第6大街72号,滨海新区,117.709427,39.055296
北京丽阳虹科技有限公司,出纳,仓库管理员,4.5-6千/月,5.25,五经路16号8号楼3层,河北区,117.208826,39.139848
天津博纳艾杰尔科技有限公司,仓库保管员,仓库管理员,3-4.5千/月,3.75,天津开发区西区南大街179号,东丽区,117.551021,39.078582
天津市信泰科技发展有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市西青区王稳庄镇赛达工业园盛达一支路16号,西青区,117.274175,38.903552
廊坊澳美基业房地产开发有限公司,仓库管理员,仓库管理员,3.5-5千/月,4.25,廊坊开发区祥云道69号,河北区,116.783095,39.573199
上海中智项目外包咨询服务有限公司,美资涂料公司-第三方物流仓库管理专员,仓库管理员,4-4.2千/月,4.1,天津市经济技术开发区黄海路,滨海新区,117.717176,39.088374
美菜网,分拣组长,搬运工,4-6千/月,5,天津市北辰区交通集团城市物流配送中心,北辰区,117.172458,39.215325
深圳招商美冷供应链有限公司,应届毕业生,仓库管理员,2-3千/月,2.5,天津市东丽区空港经济区航空路152号,东丽区,117.418705,39.13335
天津市恒奥科技发展有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市华苑产业区榕苑路15号9-8-D,西青区,117.228935,39.133884
天津市鸿裕强机械制造有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,宜兴埠镇东马道6号,北辰区,117.196709,39.151274
深圳万讯自控股份有限公司,机械库管理员-亿环（工作地点：天津）,仓库管理员,3-4.5千/月,3.75,北辰科技园区景丽路15号,北辰区,117.207121,39.227717
天津市拉贝尔实验室设备有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天宇科技园天宇大道16号,静海县,116.979702,38.904939
苏宁易购集团股份有限公司,冷链仓储员,仓库管理员,4-6千/月,5,天津北辰区,北辰区,117.141401,39.230342
苏宁易购集团股份有限公司,冷链仓储管理员,仓库管理员,4-6千/月,5,天津北辰区,北辰区,117.141401,39.230342
天津雅闻菲德自动化技术有限公司,仓管/仓库管理员,仓库管理员,3-4.5千/月,3.75,空港经济区中心大道555号,东丽区,117.431247,39.128409
天津市悦鑫建筑装饰工程有限公司,搬运工,搬运工,4-5千/月,4.5,宜宾道9号,南开区,117.139468,39.133825
康龙化成（北京）新药技术股份有限公司,物料管理员04212(000676)(职位编号：000676),仓库管理员,4.5-6千/月,5.25,天津市经济技术开发区西区新业七街,滨海新区,117.552962,39.099598
天津吉鸥进出口贸易有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,大沽南路,河西区,117.296231,39.07165
天津艾肯物业服务有限公司,维斯塔斯 急招库管 待遇优厚,仓库管理员,3-6千/月,4.5,天津泰达经济技术开发区,滨海新区,117.688171,39.033843
智邦（天津）卫生用品科技有限公司,装卸工(职位编号：05),搬运工,3-4.5千/月,3.75,空港经济区西十五道与航空路交口,东丽区,,
卓凡（天津）电子商务有限公司,理货员,理货员,2.5-3.5千/月,3,天津市东丽区空港经济区欧贸城市广场地下负二层,东丽区,117.420079,39.160424
海斯坦普汽车组件（天津）有限公司,仓库主管 Warehouse Supervisor,仓库主管,6-8千/月,7,开源道22号,红桥区,117.065226,39.405467
智邦（天津）卫生用品科技有限公司,工厂诚聘库管(职位编号：04),仓库管理员,4.5-6千/月,5.25,空港经济区西十五道与航空路交口,东丽区,,
天津市悦鑫建筑装饰工程有限公司,（物流）货运司机,调度员,5-6千/月,5.5,宜宾道9号,南开区,117.139468,39.133825
天津市悦鑫建筑装饰工程有限公司,搬运工,搬运工,4.5-6千/月,5.25,宜宾道9号,南开区,117.139468,39.133825
天津市浦亚照明电器有限公司,仓库配货员,仓库管理员,2-4千/月,3,天津市河东区成林道110号,河东区,117.272765,39.135186
天津市浦亚照明电器有限公司,仓库配货员,仓库管理员,2-3千/月,2.5,天津市河东区成林道110号,河东区,117.272765,39.135186
天津市浦亚照明电器有限公司,仓库管理员,仓库管理员,2-4.5千/月,3.25,天津市河东区成林道110号,河东区,117.25523,39.135976
上海瑞淳物流有限公司,运输调度,调度员,4.5-6千/月,5.25,赛达二支路13号A2-3库,西青区,117.266208,38.992865
天津市娜国瑞餐饮管理有限公司,娜娜家  库管员,仓库管理员,3-4千/月,3.5,天津市西青区卫津南路王兰庄丰田4S店身后,西青区,117.203966,39.048767
李斯特技术中心（上海）有限公司,仓库管理员,仓库管理员,4-6千/月,5,天津市开发区西区新业五街8号,滨海新区,,
天津圣象家居有限公司,调度员,调度员,3-4.5千/月,3.75,天津东丽区,东丽区,117.320568,39.092332
天津山远石油工具有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,汊沽港镇京津科技谷福发路29号（中石油加油站对过）,武清区,116.945024,39.262519
华润五丰农产品（深圳）有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,海泰国际公寓2522,西青区,117.135758,39.102326
天津圣纳科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,南开大学,南开区,117.175215,39.109359
广州合盛物流有限公司,仓库管理员,仓库管理员,4.5-5.5千/月,5,辛口镇传化物流园,西青区,,
阿滨仪器（天津）有限公司,仓库管理员,仓库管理员,2-3千/月,2.5,天津市北辰区天穆工业园柳滩工业区天永道7号,北辰区,117.155875,39.198397
天津市顺超有限公司,仓库主管,仓库主管,3-4.5千/月,3.75,辛口工业园,西青区,116.977738,39.088298
鲜生活冷链物流有限公司,现场调度,调度员,2-3千/月,2.5,定州市定州伊利乳业有限公司,定州市,115.025534,38.593846
湖北迈睿达供应链股份有限公司,仓库经理（天津）,仓库经理,5-8千/月,6.5,经济开发区西区南大街,宝坻区,117.551911,39.078502
睦邻企业管理服务（北京）有限公司,车辆调度员,调度员,4.5-6千/月,5.25,天津蓝玺冷链物流公司,河北区,117.182376,39.249483
天津柯瑞祥机电设备有限公司,仓库管理员,仓库管理员,2-4千/月,3,天津市津南区海河教育园区,津南区,117.383883,39.02407
北京玖程龙禹科贸有限公司,仓库理货员,理货员,3-4.5千/月,3.75,大碱厂南辛庄（天津玖程龙禹科技有限公司),武清区,117.091679,39.440928
天津开发区泰达保温材料有限公司,仓库管理文员,仓库管理员,4-4.8千/月,4.4,天津经济技术开发区现代产业区翠薇街6号,滨海新区,117.785589,39.221351
品渥食品股份有限公司,仓库主管,仓库主管,6-8千/月,7,天津市武清区天津新技术产业园区武清开发区翠源道2号（普洛斯武清现代服务产业园）,武清区,,
中铁现代物流科技股份有限公司天津分公司,物流专员,仓库管理员,3-4千/月,3.5,经济技术开发区,滨海新区,117.715311,39.033792
北京航空食品有限公司天津分公司,库房管理员(职位编号：002),仓库管理员,3-3.5千/月,3.25,东丽区机场西区二号路6号,东丽区,117.312597,39.147195
北京丽阳虹科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,五经路16号8号楼3层,河北区,117.208826,39.139848
上海艾杰飞人力资源有限公司,日企仓管经理(编号106783),仓库经理,7.7-9.7千/月,8.7,天津,河北区,117.205914,39.090908
天津振坤嘉盛焊接材料有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,宁河经济开发区三经路与十二纬路交口区域第一段,宁河县,,
常州市上锐工业紧固件有限公司,备货员（天津）,仓库管理员,4-6千/月,5,天津市武清开发区发达路6号第2号厂房,武清区,117.060979,39.406467
天津鸿宝祥食品科技有限公司,仓库管理员,仓库管理员,3-4千/月,3.5,南开三马路37号中关村E谷316祥禾饽饽铺,南开区,117.179973,39.141106
常州市上锐工业紧固件有限公司,叉车理货员（天津）,理货员,4-6千/月,5,天津市武清开发区发达路6号第2号厂房,武清区,117.060979,39.406467
花点时间,仓库管理员,仓库管理员,4-6千/月,5,福源道奥克斯电器,武清区,117.069003,39.385057
瑞康医药（天津）有限公司,仓库管理员2,仓库管理员,3-4.5千/月,3.75,大港区大港油田二号院,滨海新区,117.51658,38.746633
通力电梯有限公司天津分公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市和平区西康路与成都道交口 赛顿中心C座12层04单元,和平区,117.198747,39.112645
天津欧乐时尚企业管理有限公司,资产主管,仓库主管,4-5千/月,4.5,天津市和平区滨江道300号,和平区,117.202683,39.126674
康师傅杭州顶园食品有限公司,调度员,调度员,4.5-6千/月,5.25,洞庭路161号,河西区,117.699203,39.07216
天津威图电气设备有限公司,仓库管理员,仓库管理员,4-4.5千/月,4.25,天津市西青区中北工业园北园11号院,西青区,117.077398,39.151409
天津科维津宏环保科技有限公司,仓库主管,仓库主管,5-7千/月,6,河北津宏化工有限公司,河北区,118.191083,39.243521
般德阀门科技有限公司,仓库主管,仓库主管,4.5-6千/月,5.25,北闸口普惠道37号,津南区,117.413837,38.960926
天津棕森园林景观工程有限公司,库管,仓库管理员,4-6千/月,5,空港经济区空港商务园西区W2-301,东丽区,117.391696,39.166644
